game_id,season,week,gameday,gametime,home_team,away_team,home_score,away_score,result,total,spread_line,total_line,home_moneyline,away_moneyline,stadium,roof,surface
2024_09_NE_TEN,2024,9,2024-11-03,13:00,TEN,NE,20.0,17.0,3.0,37.0,3.0,38.5,-162.0,136.0,Nissan Stadium,outdoors,grass
2024_09_CHI_ARI,2024,9,2024-11-03,16:05,ARI,CHI,29.0,9.0,20.0,38.0,1.5,44.5,-120.0,100.0,State Farm Stadium,closed,grass
2024_09_JAX_PHI,2024,9,2024-11-03,16:05,PHI,JAX,28.0,23.0,5.0,51.0,7.5,46.0,-340.0,270.0,Lincoln Financial Field,outdoors,grass
2024_09_DET_GB,2024,9,2024-11-03,16:25,GB,DET,14.0,24.0,-10.0,38.0,-2.5,47.5,130.0,-155.0,Lambeau Field,outdoors,grass
2024_09_LA_SEA,2024,9,2024-11-03,16:25,SEA,LA,20.0,26.0,-6.0,46.0,-1.5,48.5,105.0,-125.0,Lumen Field,outdoors,fieldturf
2024_09_IND_MIN,2024,9,2024-11-03,20:20,MIN,IND,21.0,13.0,8.0,34.0,6.5,47.0,-298.0,240.0,U.S. Bank Stadium,dome,sportturf
2024_09_TB_KC,2024,9,2024-11-04,20:15,KC,TB,30.0,24.0,6.0,54.0,9.0,45.5,-425.0,330.0,GEHA Field at Arrowhead Stadium,outdoors,grass
2024_10_CIN_BAL,2024,10,2024-11-07,20:15,BAL,CIN,35.0,34.0,1.0,69.0,6.0,53.0,-270.0,220.0,M&T Bank Stadium,outdoors,grass
2024_10_NYG_CAR,2024,10,2024-11-10,09:30,CAR,NYG,20.0,17.0,3.0,37.0,-6.5,40.5,240.0,-298.0,Allianz Arena,outdoors,
2024_10_NE_CHI,2024,10,2024-11-10,13:00,CHI,NE,3.0,19.0,-16.0,22.0,6.5,37.5,-325.0,260.0,Soldier Field,outdoors,grass
2024_10_BUF_IND,2024,10,2024-11-10,13:00,IND,BUF,20.0,30.0,-10.0,50.0,-4.5,46.5,190.0,-230.0,Lucas Oil Stadium,closed,fieldturf
2024_10_MIN_JAX,2024,10,2024-11-10,13:00,JAX,MIN,7.0,12.0,-5.0,19.0,-7.0,42.5,280.0,-345.0,TIAA Bank Stadium,outdoors,grass
2024_10_DEN_KC,2024,10,2024-11-10,13:00,KC,DEN,16.0,14.0,2.0,30.0,7.5,42.5,-380.0,300.0,GEHA Field at Arrowhead Stadium,outdoors,grass
2024_10_ATL_NO,2024,10,2024-11-10,13:00,NO,ATL,20.0,17.0,3.0,37.0,-3.5,46.5,160.0,-192.0,Mercedes-Benz Superdome,dome,sportturf
2024_10_SF_TB,2024,10,2024-11-10,13:00,TB,SF,20.0,23.0,-3.0,43.0,-6.5,50.5,240.0,-298.0,Raymond James Stadium,outdoors,grass
2024_10_PIT_WAS,2024,10,2024-11-10,13:00,WAS,PIT,27.0,28.0,-1.0,55.0,1.5,45.0,-122.0,102.0,FedExField,outdoors,grass
2024_10_TEN_LAC,2024,10,2024-11-10,16:05,LAC,TEN,27.0,17.0,10.0,44.0,8.0,40.0,-380.0,300.0,SoFi Stadium,dome,matrixturf
2024_10_NYJ_ARI,2024,10,2024-11-10,16:25,ARI,NYJ,31.0,6.0,25.0,37.0,-2.0,45.5,110.0,-130.0,State Farm Stadium,closed,grass
2024_10_PHI_DAL,2024,10,2024-11-10,16:25,DAL,PHI,6.0,34.0,-28.0,40.0,-7.5,44.5,285.0,-360.0,AT&T Stadium,closed,matrixturf
2024_10_DET_HOU,2024,10,2024-11-10,20:20,HOU,DET,23.0,26.0,-3.0,49.0,-4.5,49.0,190.0,-230.0,NRG Stadium,closed,astroturf
2024_10_MIA_LA,2024,10,2024-11-11,20:15,LA,MIA,15.0,23.0,-8.0,38.0,2.5,49.5,-142.0,120.0,SoFi Stadium,dome,matrixturf
2024_11_WAS_PHI,2024,11,2024-11-14,20:15,PHI,WAS,26.0,18.0,8.0,44.0,4.5,49.5,-230.0,190.0,Lincoln Financial Field,outdoors,grass
2024_11_GB_CHI,2024,11,2024-11-17,13:00,CHI,GB,19.0,20.0,-1.0,39.0,-6.0,41.0,215.0,-265.0,Soldier Field,outdoors,grass
