Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,team,season
"Sunday, Aug 18",ARI,@,TBR,L-wo,7.0,8.0,12.0,69-56,3.0,4.0,Uceta,Martinez,None,3:46,D,18636.0,1.29,-3,,ARI,2024
"Monday, Aug 19",ARI,@,MIA,W,9.0,6.0,9.0,70-56,3.0,4.0,Pfaadt,Oller,None,2:42,N,7318.0,1.26,1,,ARI,2024
"Tuesday, Aug 20",ARI,@,MIA,W,3.0,1.0,9.0,71-56,3.0,4.0,Rodríguez,Cabrera,Martinez,2:22,N,6794.0,1.23,2,,ARI,2024
"Wednesday, Aug 21",ARI,@,MIA,W,10.0,8.0,9.0,72-56,2.0,4.0,Floro,Nardi,Martinez,3:18,N,8248.0,1.19,3,,ARI,2024
"Friday, Aug 23",ARI,@,BOS,W,12.0,2.0,9.0,73-56,2.0,4.0,Nelson,Bello,None,2:40,N,32016.0,1.22,4,,ARI,2024
"Saturday, Aug 24",ARI,@,BOS,W,4.0,1.0,9.0,74-56,2.0,3.0,Gallen,Crawford,None,2:44,D,35528.0,1.16,5,,ARI,2024
"Sunday, Aug 25",ARI,@,BOS,W,7.0,5.0,9.0,75-56,2.0,3.0,Kelly,Houck,Martinez,2:30,D,31453.0,1.29,6,,ARI,2024
"Tuesday, Aug 27",ARI,Home,NYM,L,3.0,8.0,9.0,75-57,2.0,3.0,Manaea,Pfaadt,None,2:51,N,22575.0,1.32,-1,,ARI,2024
"Wednesday, Aug 28",ARI,Home,NYM,W,8.0,5.0,9.0,76-57,2.0,3.0,Thompson,Díaz,Martinez,2:38,N,27059.0,1.41,1,,ARI,2024
"Thursday, Aug 29",ARI,Home,NYM,L,2.0,3.0,9.0,76-58,2.0,4.0,Buttó,Martinez,Díaz,2:21,D,18425.0,1.39,-1,,ARI,2024
"Friday, Aug 30",ARI,Home,LAD,L,9.0,10.0,9.0,76-59,2.0,5.0,Brasier,Floro,None,3:13,N,46606.0,1.60,-2,,ARI,2024
"Saturday, Aug 31",ARI,Home,LAD,L,6.0,8.0,9.0,76-60,2.0,6.0,Casparius,Thompson,Phillips,2:50,N,50041.0,1.35,-3,,ARI,2024
"Sunday, Sep 1",ARI,Home,LAD,W,14.0,3.0,9.0,77-60,2.0,5.0,Pfaadt,Wrobleski,None,2:38,D,46278.0,1.29,1,,ARI,2024
"Monday, Sep 2",ARI,Home,LAD,L,6.0,11.0,9.0,77-61,3.0,6.0,Flaherty,Rodríguez,None,3:25,D,43747.0,1.30,-1,,ARI,2024
"Tuesday, Sep 3",ARI,@,SFG,W,8.0,7.0,9.0,78-61,3.0,6.0,Nelson,Harrison,Martinez,2:47,N,23545.0,1.08,1,,ARI,2024
"Wednesday, Sep 4",ARI,@,SFG,W,6.0,4.0,9.0,79-61,3.0,5.0,Gallen,Birdsong,None,2:42,N,22855.0,1.01,2,,ARI,2024
"Thursday, Sep 5",ARI,@,SFG,L-wo,2.0,3.0,9.0,79-62,3.0,5.5,Walker,Ginkel,None,2:35,D,27871.0,1.09,-1,,ARI,2024
"Friday, Sep 6",ARI,@,HOU,L,0.0,8.0,9.0,79-63,3.0,5.5,Valdez,Pfaadt,None,2:35,N,34218.0,1.08,-2,,ARI,2024
"Saturday, Sep 7",ARI,@,HOU,L,5.0,11.0,9.0,79-64,3.0,6.5,Kikuchi,Rodríguez,None,2:53,D,35739.0,1.33,-3,,ARI,2024
"Sunday, Sep 8",ARI,@,HOU,W,12.0,6.0,9.0,80-64,3.0,6.5,Ginkel,Verlander,None,3:05,N,34154.0,1.31,1,,ARI,2024
"Tuesday, Sep 10",ARI,Home,TEX,W,6.0,0.0,9.0,81-64,3.0,5.0,Gallen,Eovaldi,None,2:36,N,25499.0,1.25,2,,ARI,2024
"Wednesday, Sep 11",ARI,Home,TEX,W,14.0,4.0,9.0,82-64,2.0,5.0,Floro,Bradford,Montgomery,2:47,D,20473.0,1.23,3,,ARI,2024
"Friday, Sep 13",ARI,Home,MIL,L,1.0,2.0,9.0,82-65,3.0,5.0,Peralta,Rodríguez,Williams,2:48,N,31033.0,1.14,-1,,ARI,2024
"Saturday, Sep 14",ARI,Home,MIL,L,8.0,15.0,9.0,82-66,3.0,5.0,Myers,Pfaadt,None,3:03,N,44886.0,1.38,-2,,ARI,2024
"Sunday, Sep 15",ARI,Home,MIL,W-wo,11.0,10.0,10.0,83-66,3.0,5.0,Walston,Koenig,None,3:50,D,33708.0,1.58,1,,ARI,2024
"Monday, Sep 16",ARI,@,COL,L-wo,2.0,3.0,9.0,83-67,3.0,6.0,Halvorsen,Thompson,None,2:14,N,18454.0,1.16,-1,,ARI,2024
"Tuesday, Sep 17",ARI,@,COL,L,2.0,8.0,9.0,83-68,3.0,6.0,Feltner,Montgomery,None,2:42,N,20421.0,1.30,-2,,ARI,2024
"Wednesday, Sep 18",ARI,@,COL,W,9.0,4.0,9.0,84-68,3.0,6.0,Rodríguez,Gomber,None,2:39,D,20805.0,1.39,1,,ARI,2024
"Thursday, Sep 19",ARI,@,MIL,W,5.0,1.0,9.0,85-68,3.0,6.0,Pfaadt,Myers,None,2:37,N,25093.0,1.46,2,,ARI,2024
